[2022-04-07 13:53:07] request.INFO: Matched route "imprimes_tech_stock_generate_ajax". {"route":"imprimes_tech_stock_generate_ajax","route_parameters":{"_controller":"Ct\\BackOffice\\AdminBundle\\Controller\\CtImprimeTechUseController::generateFeuilleStockITAction","_route":"imprimes_tech_stock_generate_ajax"},"request_uri":"http://debian-v8:2052/app.php/admin/imprime-tech-use/generer-feuille-stock-it-ajax","method":"POST"} []
[2022-04-07 13:53:07] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-04-07 13:53:08] security.DEBUG: User was reloaded from a user provider. {"username":"raharisonvt","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-04-07 13:53:08] php.CRITICAL: Fatal Error: Call to undefined function Ct\Service\MetierManagerBundle\Metier\CtImprimeTechUse\now() {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\FatalErrorException(code: 0): Error: Call to undefined function Ct\\Service\\MetierManagerBundle\\Metier\\CtImprimeTechUse\\now() at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php:908)"} []
[2022-04-07 13:53:09] request.CRITICAL: Uncaught PHP Exception Symfony\Component\Debug\Exception\UndefinedFunctionException: "Attempted to call function "now" from namespace "Ct\Service\MetierManagerBundle\Metier\CtImprimeTechUse"." at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php line 908 {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\UndefinedFunctionException(code: 0): Attempted to call function \"now\" from namespace \"Ct\\Service\\MetierManagerBundle\\Metier\\CtImprimeTechUse\". at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php:908)"} []
[2022-04-07 13:53:10] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-04-12 12:39:58] request.INFO: Matched route "visite_generate_reporting_fiche_controle_ajax". {"route":"visite_generate_reporting_fiche_controle_ajax","route_parameters":{"_controller":"Ct\\BackOffice\\AdminBundle\\Controller\\CtVisiteController::generateReportingFicheControleAjaxAction","_route":"visite_generate_reporting_fiche_controle_ajax"},"request_uri":"http://debian-v8:2052/app.php/admin/visite/generate-reporting-fiche-controle-ajax","method":"POST"} []
[2022-04-12 12:39:58] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-04-12 12:39:58] security.DEBUG: User was reloaded from a user provider. {"username":"raharisonvt","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-04-12 12:39:58] php.WARNING: Notice: Undefined variable: _centre_id {"exception":"[object] (ErrorException(code: 0): Notice: Undefined variable: _centre_id at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtVisite/ServiceMetierCtVisite.php:181)"} []
[2022-04-12 12:39:58] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\Query\QueryException: "[Syntax Error] line 0, col 186: Error: Expected end of string, got 'WHERE'" at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/Query/QueryException.php line 52 {"exception":"[object] (Doctrine\\ORM\\Query\\QueryException(code: 0): [Syntax Error] line 0, col 186: Error: Expected end of string, got 'WHERE' at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/Query/QueryException.php:52, Doctrine\\ORM\\Query\\QueryException(code: 0): SELECT v\n                      FROM MetierManagerBundle:CtVisite v\n                      LEFT JOIN v.ctVerificateur verif\n                      WHERE verif.id = ?1\n                      WHERE verif.id = ?2\n                      AND v.vstCreated LIKE :date \n                      ORDER BY v.vstCreated DESC at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/Query/QueryException.php:41)"} []
[2022-04-12 12:39:58] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-04-21 10:31:33] request.INFO: Matched route "verificateur_index". {"route":"verificateur_index","route_parameters":{"_controller":"Ct\\Service\\UserBundle\\Controller\\VerificateurController::indexAction","_route":"verificateur_index"},"request_uri":"http://192.168.12.22:2052/app.php/admin/verificateur/","method":"GET"} []
[2022-04-21 10:31:33] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-04-21 10:31:33] security.DEBUG: User was reloaded from a user provider. {"username":"raharisona","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-04-21 10:31:33] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\ORMException: "Invalid order by orientation specified for Ct\Service\UserBundle\Entity\User#ctRole" at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/ORMException.php line 126 {"exception":"[object] (Doctrine\\ORM\\ORMException(code: 0): Invalid order by orientation specified for Ct\\Service\\UserBundle\\Entity\\User#ctRole at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/ORMException.php:126)"} []
[2022-04-21 10:31:33] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-04-21 10:32:05] request.INFO: Matched route "verificateur_index". {"route":"verificateur_index","route_parameters":{"_controller":"Ct\\Service\\UserBundle\\Controller\\VerificateurController::indexAction","_route":"verificateur_index"},"request_uri":"http://192.168.12.22:2052/app.php/admin/verificateur/","method":"GET"} []
[2022-04-21 10:32:05] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-04-21 10:32:05] security.DEBUG: User was reloaded from a user provider. {"username":"raharisona","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-04-21 10:32:05] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\ORMException: "Invalid order by orientation specified for Ct\Service\UserBundle\Entity\User#ctRole" at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/ORMException.php line 126 {"exception":"[object] (Doctrine\\ORM\\ORMException(code: 0): Invalid order by orientation specified for Ct\\Service\\UserBundle\\Entity\\User#ctRole at /var/www/html/livenexx.ct.mg/vendor/doctrine/orm/lib/Doctrine/ORM/ORMException.php:126)"} []
[2022-04-21 10:32:05] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-04-22 10:17:14] request.INFO: Matched route "verificateur_index". {"route":"verificateur_index","route_parameters":{"_controller":"Ct\\Service\\UserBundle\\Controller\\VerificateurController::indexAction","_route":"verificateur_index"},"request_uri":"http://debian-v8:2052/app.php/admin/verificateur/","method":"GET"} []
[2022-04-22 10:17:14] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-04-22 10:17:14] security.DEBUG: User was reloaded from a user provider. {"username":"raharisona","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-04-22 10:17:14] php.CRITICAL: Fatal Error: Call to undefined method Ct\Service\UserBundle\Manager\UserManager::getCtCentreById() {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\FatalErrorException(code: 0): Error: Call to undefined method Ct\\Service\\UserBundle\\Manager\\UserManager::getCtCentreById() at /var/www/html/livenexx.ct.mg/src/Ct/Service/UserBundle/Controller/VerificateurController.php:32)"} []
[2022-04-22 10:17:15] request.CRITICAL: Uncaught PHP Exception Symfony\Component\Debug\Exception\UndefinedMethodException: "Attempted to call an undefined method named "getCtCentreById" of class "Ct\Service\UserBundle\Manager\UserManager"." at /var/www/html/livenexx.ct.mg/src/Ct/Service/UserBundle/Controller/VerificateurController.php line 32 {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\UndefinedMethodException(code: 0): Attempted to call an undefined method named \"getCtCentreById\" of class \"Ct\\Service\\UserBundle\\Manager\\UserManager\". at /var/www/html/livenexx.ct.mg/src/Ct/Service/UserBundle/Controller/VerificateurController.php:32)"} []
[2022-04-22 10:17:15] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-04-29 11:05:35] request.INFO: Matched route "imprimes_tech_stock_generate_ajax". {"route":"imprimes_tech_stock_generate_ajax","route_parameters":{"_controller":"Ct\\BackOffice\\AdminBundle\\Controller\\CtImprimeTechUseController::generateFeuilleStockITAction","_route":"imprimes_tech_stock_generate_ajax"},"request_uri":"http://debian-v8:2052/app.php/admin/imprime-tech-use/generer-feuille-stock-it-ajax","method":"POST"} []
[2022-04-29 11:05:36] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-04-29 11:05:36] security.DEBUG: User was reloaded from a user provider. {"username":"raharisona","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-04-29 11:05:37] php.CRITICAL: Fatal Error: Call to undefined function Ct\Service\MetierManagerBundle\Metier\CtImprimeTechUse\now() {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\FatalErrorException(code: 0): Error: Call to undefined function Ct\\Service\\MetierManagerBundle\\Metier\\CtImprimeTechUse\\now() at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php:908)"} []
[2022-04-29 11:05:37] request.CRITICAL: Uncaught PHP Exception Symfony\Component\Debug\Exception\UndefinedFunctionException: "Attempted to call function "now" from namespace "Ct\Service\MetierManagerBundle\Metier\CtImprimeTechUse"." at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php line 908 {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\UndefinedFunctionException(code: 0): Attempted to call function \"now\" from namespace \"Ct\\Service\\MetierManagerBundle\\Metier\\CtImprimeTechUse\". at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php:908)"} []
[2022-04-29 11:05:37] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-05-17 13:18:31] request.INFO: Matched route "imprime_tech_use_update". {"route":"imprime_tech_use_update","route_parameters":{"_controller":"Ct\\BackOffice\\AdminBundle\\Controller\\CtImprimeTechUseController::updateAction","id":"272371","_route":"imprime_tech_use_update"},"request_uri":"http://debian-v8:2052/app.php/admin/imprime-tech-use/272371/update","method":"PUT"} []
[2022-05-17 13:18:31] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-05-17 13:18:31] security.DEBUG: User was reloaded from a user provider. {"username":"raharisonvt","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-05-17 13:18:32] php.CRITICAL: Fatal Error: Call to undefined method Ct\Service\MetierManagerBundle\Entity\CtImprimeTechUse::getItuActivedAt() {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\FatalErrorException(code: 0): Error: Call to undefined method Ct\\Service\\MetierManagerBundle\\Entity\\CtImprimeTechUse::getItuActivedAt() at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php:195)"} []
[2022-05-17 13:18:32] request.CRITICAL: Uncaught PHP Exception Symfony\Component\Debug\Exception\UndefinedMethodException: "Attempted to call an undefined method named "getItuActivedAt" of class "Ct\Service\MetierManagerBundle\Entity\CtImprimeTechUse". Did you mean to call e.g. "getItuAtivedAt", "getItuCreatedAt", "getItuUpdatedAt" or "setItuActivedAt"?" at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php line 195 {"exception":"[object] (Symfony\\Component\\Debug\\Exception\\UndefinedMethodException(code: 0): Attempted to call an undefined method named \"getItuActivedAt\" of class \"Ct\\Service\\MetierManagerBundle\\Entity\\CtImprimeTechUse\".\nDid you mean to call e.g. \"getItuAtivedAt\", \"getItuCreatedAt\", \"getItuUpdatedAt\" or \"setItuActivedAt\"? at /var/www/html/livenexx.ct.mg/src/Ct/Service/MetierManagerBundle/Metier/CtImprimeTechUse/ServiceMetierCtImprimeTechUse.php:195)"} []
[2022-05-17 13:18:32] security.DEBUG: Stored the security token in the session. {"key":"_security_main"} []
[2022-05-17 14:20:18] request.INFO: Matched route "imprime_tech_use_update". {"route":"imprime_tech_use_update","route_parameters":{"_controller":"Ct\\BackOffice\\AdminBundle\\Controller\\CtImprimeTechUseController::updateAction","id":"272371","_route":"imprime_tech_use_update"},"request_uri":"http://debian-v8:2052/app.php/admin/imprime-tech-use/272371/update","method":"PUT"} []
[2022-05-17 14:20:18] security.DEBUG: Read existing security token from the session. {"key":"_security_main"} []
[2022-05-17 14:20:18] security.DEBUG: User was reloaded from a user provider. {"username":"raharisonvt","provider":"FOS\\UserBundle\\Security\\EmailUserProvider"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CBackOffice%5CAdminBundle%5CController%5CCtImprimeTechUseController%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CBackOffice%5CAdminBundle%5CController%5CCtImprimeTechUseController%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CBackOffice%5CAdminBundle%5CController%5CCtImprimeTechUseController%23updateAction%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CBackOffice%5CAdminBundle%5CController%5CCtImprimeTechUseController%23updateAction%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getId%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getId%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtBordereau%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtBordereau%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtBordereau%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtBordereau%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtCentre%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtCentre%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtCentre%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtCentre%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtImprimeTech%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtImprimeTech%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtImprimeTech%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtImprimeTech%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtControle%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtControle%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtControle%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtControle%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtUser%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setCtUser%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtUser%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getCtUser%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuNumero%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuNumero%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getItuNumero%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getItuNumero%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuUsed%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuUsed%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getItuUsed%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getItuUsed%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuMotifUsed%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuMotifUsed%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getItuMotifUsed%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23getItuMotifUsed%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
[2022-05-17 14:20:18] cache.WARNING: Failed to save key "%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuActivedAt%40%5BAnnot%5D%5D%5B1%5D" (array) {"key":"%5BCt%5CService%5CMetierManagerBundle%5CEntity%5CCtImprimeTechUse%23setItuActivedAt%40%5BAnnot%5D%5D%5B1%5D","type":"array","exception":"[object] (ErrorException(code: 0): file_put_contents(/var/www/html/livenexx.ct.mg/var/cache/prod/pools/QP9Z+Ve+l+/628384f2a82366.27914681): failed to open stream: Permission denied at /var/www/html/livenexx.ct.mg/var/cache/prod/classes.php:1321)"} []
